word,aoa,dale_chall,source
round,4.75,yes,kuperman
rub,6.00,yes,kuperman
rubs,6.00,yes,kuperman-lemma
rude,7.11,no,kuperman
rug,4.61,yes,kuperman
run,4.47,yes,kuperman
running,4.47,yes,kuperman-lemma
runs,4.47,yes,kuperman-lemma
rust,7.75,yes,kuperman
rut,9.17,no,kuperman
s,,no,estimated:artifact
sack,5.83,yes,kuperman
sad,3.24,yes,kuperman
sadness,5.00,yes,kuperman
safe,5.11,yes,kuperman
sage,11.39,no,kuperman
said,3.42,yes,kuperman-lemma
sailor,6.44,yes,kuperman
sal,,no,estimated:name
sam,,no,estimated:name
same,5.62,yes,kuperman
